                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61066,                0.44882,                0.91678,                0.99257,                      1,                  0.995,                0.68069,                 1.2138,                0.63104,                 1.1123,                0.00024,                0.00024,                0.00024
                      2,                0.59974,                0.46008,                0.92142,                0.99903,                      1,                  0.995,                0.63832,                 1.2802,                0.54259,                 1.1593,              0.0004901,              0.0004901,              0.0004901
                      3,                0.61914,                0.45656,                0.94774,                      1,                0.99911,                  0.995,                0.63477,                 1.3089,                0.59982,                 1.1934,              0.0007299,              0.0007299,              0.0007299
                      4,                0.68037,                0.47288,                0.94373,                0.97045,                0.91241,                0.97554,                0.61879,                 1.3877,                0.83791,                 1.1857,             0.00095941,             0.00095941,             0.00095941
                      5,                0.73463,                0.53133,                0.97924,                0.94097,                0.88574,                0.93711,                0.61179,                 1.3509,                0.90698,                 1.1924,              0.0011786,              0.0011786,              0.0011786
                      6,                0.73845,                0.50705,                0.96828,                0.94534,                0.96098,                 0.9889,                0.63191,                 1.3201,                0.68058,                 1.1995,              0.0013875,              0.0013875,              0.0013875
                      7,                0.66829,                0.51956,                0.95925,                0.99612,                0.94444,                0.99094,                0.62856,                  1.388,                 0.6828,                 1.2054,              0.0015862,              0.0015862,              0.0015862
                      8,                0.73544,                0.52978,                0.98147,                 0.9984,                0.94444,                 0.9889,                0.64786,                 1.3676,                0.72528,                 1.2006,              0.0017228,              0.0017228,              0.0017228
                      9,                0.74667,                0.54158,                0.95771,                 0.9207,                0.96767,                0.97995,                0.59471,                 1.3663,                0.73048,                 1.2358,              0.0017228,              0.0017228,              0.0017228
                     10,                0.74873,                0.53381,                0.95844,                0.94719,                0.99643,                0.99079,                0.61037,                 1.3713,                0.65314,                 1.2405,              0.0016832,              0.0016832,              0.0016832
                     11,                0.77967,                0.55995,                0.96885,                      1,                0.98382,                  0.995,                0.66284,                 1.2244,                0.61128,                 1.1182,              0.0016436,              0.0016436,              0.0016436
                     12,                0.73022,                0.50929,                 0.9621,                0.97049,                0.91353,                0.97071,                0.66918,                  1.235,                0.88914,                 1.1273,               0.001604,               0.001604,               0.001604
